Year,Month,Count,State,City
2002,1,0,NY,New York
2002,2,0,NY,New York
2002,3,0,NY,New York
2002,4,0,NY,New York
2002,5,0,NY,New York
2002,6,0,NY,New York
2002,7,0,NY,New York
2002,8,0,NY,New York
2002,9,0,NY,New York
2002,10,0,NY,New York
2002,11,0,NY,New York
2002,12,13,NY,New York
2003,1,0,NY,New York
2003,2,0,NY,New York
2003,3,0,NY,New York
2003,4,0,NY,New York
2003,5,0,NY,New York
2003,6,0,NY,New York
2003,7,0,NY,New York
2003,8,0,NY,New York
2003,9,0,NY,New York
2003,10,0,NY,New York
2003,11,0,NY,New York
2003,12,0,NY,New York
2004,1,0,NY,New York
2004,2,0,NY,New York
2004,3,0,NY,New York
2004,4,0,NY,New York
2004,5,0,NY,New York
2004,6,0,NY,New York
2004,7,0,NY,New York
2004,8,0,NY,New York
2004,9,0,NY,New York
2004,10,0,NY,New York
2004,11,0,NY,New York
2004,12,0,NY,New York
2005,1,2,NY,New York
2005,2,0,NY,New York
2005,3,0,NY,New York
2005,4,0,NY,New York
2005,5,0,NY,New York
2005,6,0,NY,New York
2005,7,0,NY,New York
2005,8,0,NY,New York
2005,9,0,NY,New York
2005,10,0,NY,New York
2005,11,0,NY,New York
2005,12,0,NY,New York
2006,1,0,NY,New York
2006,2,16,NY,New York
2006,3,0,NY,New York
2006,4,0,NY,New York
2006,5,0,NY,New York
2006,6,0,NY,New York
2006,7,0,NY,New York
2006,8,2,NY,New York
2006,9,0,NY,New York
2006,10,0,NY,New York
2006,11,0,NY,New York
2006,12,0,NY,New York
2007,1,25,NY,New York
2007,2,5,NY,New York
2007,3,2,NY,New York
2007,4,0,NY,New York
2007,5,14,NY,New York
2007,6,0,NY,New York
2007,7,0,NY,New York
2007,8,13,NY,New York
2007,9,0,NY,New York
2007,10,37,NY,New York
2007,11,0,NY,New York
2007,12,11,NY,New York
2008,1,0,NY,New York
2008,2,2,NY,New York
2008,3,13,NY,New York
2008,4,1,NY,New York
2008,5,2,NY,New York
2008,6,0,NY,New York
2008,7,0,NY,New York
2008,8,0,NY,New York
2008,9,0,NY,New York
2008,10,0,NY,New York
2008,11,13,NY,New York
2008,12,0,NY,New York
2009,1,13,NY,New York
2009,2,6,NY,New York
2009,3,5,NY,New York
2009,4,0,NY,New York
2009,5,0,NY,New York
2009,6,11,NY,New York
2009,7,1,NY,New York
2009,8,0,NY,New York
2009,9,12,NY,New York
2009,10,13,NY,New York
2009,11,63,NY,New York
2009,12,0,NY,New York
2010,1,14,NY,New York
2010,2,11,NY,New York
2010,3,24,NY,New York
2010,4,0,NY,New York
2010,5,4,NY,New York
2010,6,17,NY,New York
2010,7,12,NY,New York
2010,8,61,NY,New York
2010,9,0,NY,New York
2010,10,15,NY,New York
2010,11,0,NY,New York
2010,12,24,NY,New York
2011,1,39,NY,New York
2011,2,31,NY,New York
2011,3,14,NY,New York
2011,4,0,NY,New York
2011,5,0,NY,New York
2011,6,14,NY,New York
2011,7,0,NY,New York
2011,8,26,NY,New York
2011,9,1,NY,New York
2011,10,0,NY,New York
2011,11,0,NY,New York
2011,12,2,NY,New York
2012,1,26,NY,New York
2012,2,48,NY,New York
2012,3,2,NY,New York
2012,4,0,NY,New York
2012,5,1,NY,New York
2012,6,0,NY,New York
2012,7,1,NY,New York
2012,8,0,NY,New York
2012,9,1,NY,New York
2012,10,7,NY,New York
2012,11,12,NY,New York
2012,12,0,NY,New York
2013,1,12,NY,New York
2013,2,44,NY,New York
2013,3,4,NY,New York
2013,4,51,NY,New York
2013,5,0,NY,New York
2013,6,1,NY,New York
2013,7,25,NY,New York
2013,8,14,NY,New York
2013,9,1,NY,New York
2013,10,51,NY,New York
2013,11,0,NY,New York
2013,12,0,NY,New York
2014,1,31,NY,New York
2014,2,25,NY,New York
2014,3,25,NY,New York
2014,4,0,NY,New York
2014,5,2,NY,New York
2014,6,1,NY,New York
2014,7,1,NY,New York
2014,8,1,NY,New York
2014,9,26,NY,New York
2014,10,0,NY,New York
2014,11,63,NY,New York
2014,12,13,NY,New York
2015,1,12,NY,New York
2015,2,12,NY,New York
2015,3,149,NY,New York
2015,4,0,NY,New York
2015,5,6,NY,New York
2015,6,0,NY,New York
2015,7,1,NY,New York
2015,8,2,NY,New York
2015,9,0,NY,New York
2015,10,0,NY,New York
2015,11,0,NY,New York
2015,12,0,NY,New York
2016,1,0,NY,New York
2016,2,0,NY,New York
2016,3,1,NY,New York
2016,4,1,NY,New York
2016,5,0,NY,New York
2016,6,0,NY,New York
2016,7,0,NY,New York
2016,8,1,NY,New York
2016,9,3,NY,New York
2016,10,51,NY,New York
2016,11,1,NY,New York
2016,12,0,NY,New York
2017,1,2,NY,New York
2017,2,104,NY,New York
2017,3,1,NY,New York
2017,4,0,NY,New York
2017,5,1,NY,New York
2017,6,0,NY,New York
2017,7,0,NY,New York
2017,8,51,NY,New York
2017,9,3,NY,New York
2017,10,4,NY,New York
2017,11,0,NY,New York
2017,12,0,NY,New York
2002,1,0,CA,San Francisco
2002,2,0,CA,San Francisco
2002,3,0,CA,San Francisco
2002,4,0,CA,San Francisco
2002,5,0,CA,San Francisco
2002,6,0,CA,San Francisco
2002,7,0,CA,San Francisco
2002,8,0,CA,San Francisco
2002,9,0,CA,San Francisco
2002,10,0,CA,San Francisco
2002,11,0,CA,San Francisco
2002,12,0,CA,San Francisco
2003,1,0,CA,San Francisco
2003,2,0,CA,San Francisco
2003,3,0,CA,San Francisco
2003,4,0,CA,San Francisco
2003,5,0,CA,San Francisco
2003,6,0,CA,San Francisco
2003,7,0,CA,San Francisco
2003,8,0,CA,San Francisco
2003,9,0,CA,San Francisco
2003,10,0,CA,San Francisco
2003,11,0,CA,San Francisco
2003,12,0,CA,San Francisco
2004,1,0,CA,San Francisco
2004,2,0,CA,San Francisco
2004,3,0,CA,San Francisco
2004,4,0,CA,San Francisco
2004,5,0,CA,San Francisco
2004,6,0,CA,San Francisco
2004,7,0,CA,San Francisco
2004,8,0,CA,San Francisco
2004,9,0,CA,San Francisco
2004,10,0,CA,San Francisco
2004,11,0,CA,San Francisco
2004,12,0,CA,San Francisco
2005,1,0,CA,San Francisco
2005,2,0,CA,San Francisco
2005,3,0,CA,San Francisco
2005,4,0,CA,San Francisco
2005,5,0,CA,San Francisco
2005,6,0,CA,San Francisco
2005,7,0,CA,San Francisco
2005,8,0,CA,San Francisco
2005,9,0,CA,San Francisco
2005,10,0,CA,San Francisco
2005,11,0,CA,San Francisco
2005,12,0,CA,San Francisco
2006,1,0,CA,San Francisco
2006,2,0,CA,San Francisco
2006,3,0,CA,San Francisco
2006,4,298,CA,San Francisco
2006,5,0,CA,San Francisco
2006,6,0,CA,San Francisco
2006,7,0,CA,San Francisco
2006,8,0,CA,San Francisco
2006,9,0,CA,San Francisco
2006,10,0,CA,San Francisco
2006,11,0,CA,San Francisco
2006,12,14,CA,San Francisco
2007,1,0,CA,San Francisco
2007,2,0,CA,San Francisco
2007,3,12,CA,San Francisco
2007,4,0,CA,San Francisco
2007,5,0,CA,San Francisco
2007,6,1,CA,San Francisco
2007,7,1,CA,San Francisco
2007,8,0,CA,San Francisco
2007,9,0,CA,San Francisco
2007,10,0,CA,San Francisco
2007,11,0,CA,San Francisco
2007,12,0,CA,San Francisco
2008,1,0,CA,San Francisco
2008,2,0,CA,San Francisco
2008,3,12,CA,San Francisco
2008,4,0,CA,San Francisco
2008,5,0,CA,San Francisco
2008,6,0,CA,San Francisco
2008,7,50,CA,San Francisco
2008,8,0,CA,San Francisco
2008,9,0,CA,San Francisco
2008,10,0,CA,San Francisco
2008,11,0,CA,San Francisco
2008,12,0,CA,San Francisco
2009,1,2,CA,San Francisco
2009,2,0,CA,San Francisco
2009,3,0,CA,San Francisco
2009,4,0,CA,San Francisco
2009,5,0,CA,San Francisco
2009,6,0,CA,San Francisco
2009,7,0,CA,San Francisco
2009,8,0,CA,San Francisco
2009,9,1,CA,San Francisco
2009,10,0,CA,San Francisco
2009,11,2,CA,San Francisco
2009,12,0,CA,San Francisco
2010,1,1,CA,San Francisco
2010,2,0,CA,San Francisco
2010,3,0,CA,San Francisco
2010,4,3,CA,San Francisco
2010,5,0,CA,San Francisco
2010,6,0,CA,San Francisco
2010,7,51,CA,San Francisco
2010,8,2,CA,San Francisco
2010,9,0,CA,San Francisco
2010,10,12,CA,San Francisco
2010,11,0,CA,San Francisco
2010,12,0,CA,San Francisco
2011,1,1,CA,San Francisco
2011,2,0,CA,San Francisco
2011,3,0,CA,San Francisco
2011,4,0,CA,San Francisco
2011,5,0,CA,San Francisco
2011,6,0,CA,San Francisco
2011,7,81,CA,San Francisco
2011,8,12,CA,San Francisco
2011,9,37,CA,San Francisco
2011,10,49,CA,San Francisco
2011,11,0,CA,San Francisco
2011,12,0,CA,San Francisco
2012,1,0,CA,San Francisco
2012,2,3,CA,San Francisco
2012,3,12,CA,San Francisco
2012,4,0,CA,San Francisco
2012,5,112,CA,San Francisco
2012,6,0,CA,San Francisco
2012,7,0,CA,San Francisco
2012,8,5,CA,San Francisco
2012,9,0,CA,San Francisco
2012,10,0,CA,San Francisco
2012,11,18,CA,San Francisco
2012,12,0,CA,San Francisco
2013,1,0,CA,San Francisco
2013,2,50,CA,San Francisco
2013,3,12,CA,San Francisco
2013,4,53,CA,San Francisco
2013,5,1,CA,San Francisco
2013,6,2,CA,San Francisco
2013,7,0,CA,San Francisco
2013,8,4,CA,San Francisco
2013,9,0,CA,San Francisco
2013,10,0,CA,San Francisco
2013,11,0,CA,San Francisco
2013,12,50,CA,San Francisco
2014,1,2,CA,San Francisco
2014,2,10,CA,San Francisco
2014,3,1,CA,San Francisco
2014,4,54,CA,San Francisco
2014,5,1,CA,San Francisco
2014,6,1,CA,San Francisco
2014,7,0,CA,San Francisco
2014,8,30,CA,San Francisco
2014,9,12,CA,San Francisco
2014,10,4,CA,San Francisco
2014,11,0,CA,San Francisco
2014,12,0,CA,San Francisco
2015,1,0,CA,San Francisco
2015,2,25,CA,San Francisco
2015,3,107,CA,San Francisco
2015,4,0,CA,San Francisco
2015,5,0,CA,San Francisco
2015,6,56,CA,San Francisco
2015,7,0,CA,San Francisco
2015,8,0,CA,San Francisco
2015,9,0,CA,San Francisco
2015,10,0,CA,San Francisco
2015,11,105,CA,San Francisco
2015,12,2,CA,San Francisco
2016,1,2,CA,San Francisco
2016,2,0,CA,San Francisco
2016,3,0,CA,San Francisco
2016,4,12,CA,San Francisco
2016,5,0,CA,San Francisco
2016,6,0,CA,San Francisco
2016,7,0,CA,San Francisco
2016,8,0,CA,San Francisco
2016,9,0,CA,San Francisco
2016,10,0,CA,San Francisco
2016,11,0,CA,San Francisco
2016,12,0,CA,San Francisco
2017,1,0,CA,San Francisco
2017,2,0,CA,San Francisco
2017,3,12,CA,San Francisco
2017,4,0,CA,San Francisco
2017,5,0,CA,San Francisco
2017,6,0,CA,San Francisco
2017,7,1,CA,San Francisco
2017,8,0,CA,San Francisco
2017,9,103,CA,San Francisco
2017,10,52,CA,San Francisco
2017,11,0,CA,San Francisco
2017,12,0,CA,San Francisco
2002,1,0,IL,Chicago
2002,2,0,IL,Chicago
2002,3,0,IL,Chicago
2002,4,0,IL,Chicago
2002,5,0,IL,Chicago
2002,6,0,IL,Chicago
2002,7,0,IL,Chicago
2002,8,0,IL,Chicago
2002,9,0,IL,Chicago
2002,10,0,IL,Chicago
2002,11,0,IL,Chicago
2002,12,0,IL,Chicago
2003,1,0,IL,Chicago
2003,2,0,IL,Chicago
2003,3,0,IL,Chicago
2003,4,0,IL,Chicago
2003,5,0,IL,Chicago
2003,6,0,IL,Chicago
2003,7,0,IL,Chicago
2003,8,0,IL,Chicago
2003,9,0,IL,Chicago
2003,10,0,IL,Chicago
2003,11,0,IL,Chicago
2003,12,3,IL,Chicago
2004,1,0,IL,Chicago
2004,2,0,IL,Chicago
2004,3,0,IL,Chicago
2004,4,0,IL,Chicago
2004,5,0,IL,Chicago
2004,6,0,IL,Chicago
2004,7,0,IL,Chicago
2004,8,0,IL,Chicago
2004,9,0,IL,Chicago
2004,10,0,IL,Chicago
2004,11,0,IL,Chicago
2004,12,0,IL,Chicago
2005,1,0,IL,Chicago
2005,2,0,IL,Chicago
2005,3,0,IL,Chicago
2005,4,0,IL,Chicago
2005,5,0,IL,Chicago
2005,6,0,IL,Chicago
2005,7,0,IL,Chicago
2005,8,0,IL,Chicago
2005,9,0,IL,Chicago
2005,10,0,IL,Chicago
2005,11,0,IL,Chicago
2005,12,0,IL,Chicago
2006,1,0,IL,Chicago
2006,2,0,IL,Chicago
2006,3,0,IL,Chicago
2006,4,0,IL,Chicago
2006,5,0,IL,Chicago
2006,6,0,IL,Chicago
2006,7,0,IL,Chicago
2006,8,0,IL,Chicago
2006,9,0,IL,Chicago
2006,10,0,IL,Chicago
2006,11,0,IL,Chicago
2006,12,0,IL,Chicago
2007,1,0,IL,Chicago
2007,2,0,IL,Chicago
2007,3,1,IL,Chicago
2007,4,0,IL,Chicago
2007,5,0,IL,Chicago
2007,6,4,IL,Chicago
2007,7,24,IL,Chicago
2007,8,0,IL,Chicago
2007,9,0,IL,Chicago
2007,10,2,IL,Chicago
2007,11,0,IL,Chicago
2007,12,0,IL,Chicago
2008,1,0,IL,Chicago
2008,2,0,IL,Chicago
2008,3,0,IL,Chicago
2008,4,0,IL,Chicago
2008,5,0,IL,Chicago
2008,6,0,IL,Chicago
2008,7,0,IL,Chicago
2008,8,13,IL,Chicago
2008,9,0,IL,Chicago
2008,10,0,IL,Chicago
2008,11,0,IL,Chicago
2008,12,0,IL,Chicago
2009,1,1,IL,Chicago
2009,2,50,IL,Chicago
2009,3,6,IL,Chicago
2009,4,0,IL,Chicago
2009,5,1,IL,Chicago
2009,6,114,IL,Chicago
2009,7,0,IL,Chicago
2009,8,0,IL,Chicago
2009,9,0,IL,Chicago
2009,10,0,IL,Chicago
2009,11,12,IL,Chicago
2009,12,0,IL,Chicago
2010,1,0,IL,Chicago
2010,2,0,IL,Chicago
2010,3,0,IL,Chicago
2010,4,0,IL,Chicago
2010,5,0,IL,Chicago
2010,6,0,IL,Chicago
2010,7,0,IL,Chicago
2010,8,6,IL,Chicago
2010,9,0,IL,Chicago
2010,10,0,IL,Chicago
2010,11,12,IL,Chicago
2010,12,0,IL,Chicago
2011,1,0,IL,Chicago
2011,2,1,IL,Chicago
2011,3,0,IL,Chicago
2011,4,0,IL,Chicago
2011,5,0,IL,Chicago
2011,6,0,IL,Chicago
2011,7,0,IL,Chicago
2011,8,112,IL,Chicago
2011,9,0,IL,Chicago
2011,10,50,IL,Chicago
2011,11,0,IL,Chicago
2011,12,0,IL,Chicago
2012,1,18,IL,Chicago
2012,2,13,IL,Chicago
2012,3,0,IL,Chicago
2012,4,0,IL,Chicago
2012,5,0,IL,Chicago
2012,6,27,IL,Chicago
2012,7,0,IL,Chicago
2012,8,0,IL,Chicago
2012,9,13,IL,Chicago
2012,10,100,IL,Chicago
2012,11,1,IL,Chicago
2012,12,76,IL,Chicago
2013,1,1,IL,Chicago
2013,2,1,IL,Chicago
2013,3,12,IL,Chicago
2013,4,0,IL,Chicago
2013,5,80,IL,Chicago
2013,6,2,IL,Chicago
2013,7,5,IL,Chicago
2013,8,0,IL,Chicago
2013,9,0,IL,Chicago
2013,10,1,IL,Chicago
2013,11,2,IL,Chicago
2013,12,1,IL,Chicago
2014,1,2,IL,Chicago
2014,2,12,IL,Chicago
2014,3,24,IL,Chicago
2014,4,0,IL,Chicago
2014,5,0,IL,Chicago
2014,6,1,IL,Chicago
2014,7,0,IL,Chicago
2014,8,0,IL,Chicago
2014,9,1,IL,Chicago
2014,10,0,IL,Chicago
2014,11,53,IL,Chicago
2014,12,3,IL,Chicago
2015,1,25,IL,Chicago
2015,2,14,IL,Chicago
2015,3,1037,IL,Chicago
2015,4,0,IL,Chicago
2015,5,0,IL,Chicago
2015,6,0,IL,Chicago
2015,7,0,IL,Chicago
2015,8,0,IL,Chicago
2015,9,0,IL,Chicago
2015,10,0,IL,Chicago
2015,11,0,IL,Chicago
2015,12,15,IL,Chicago
2016,1,12,IL,Chicago
2016,2,0,IL,Chicago
2016,3,1,IL,Chicago
2016,4,2,IL,Chicago
2016,5,0,IL,Chicago
2016,6,0,IL,Chicago
2016,7,0,IL,Chicago
2016,8,0,IL,Chicago
2016,9,2,IL,Chicago
2016,10,5,IL,Chicago
2016,11,0,IL,Chicago
2016,12,25,IL,Chicago
2017,1,2,IL,Chicago
2017,2,0,IL,Chicago
2017,3,0,IL,Chicago
2017,4,1,IL,Chicago
2017,5,0,IL,Chicago
2017,6,0,IL,Chicago
2017,7,1,IL,Chicago
2017,8,0,IL,Chicago
2017,9,2,IL,Chicago
2017,10,103,IL,Chicago
2017,11,0,IL,Chicago
2017,12,0,IL,Chicago